transaction_id,order_id,payment_amount,fee,refund,adjustment,expected_settlement,actual_settlement,payment_status,settlement_status
TXN0054,ORD0054,4999,99.98,0.0,0.0,4899.02,4899.02,SUCCESS,SETTLED
TXN0055,ORD0055,1299,25.98,0.0,0.0,1273.02,1273.02,SUCCESS,SETTLED
TXN0056,ORD0056,799,15.98,0.0,0.0,783.02,783.02,SUCCESS,SETTLED
TXN0057,ORD0057,499,9.98,0.0,0.0,489.02,489.02,SUCCESS,SETTLED
TXN0058,ORD0058,1299,25.98,0.0,0.0,1273.02,1273.02,SUCCESS,SETTLED
TXN0059,ORD0059,1499,29.98,0.0,0.0,1469.02,1469.02,SUCCESS,SETTLED
TXN0060,ORD0060,799,15.98,0.0,0.0,783.02,783.02,SUCCESS,SETTLED
TXN0061,ORD0061,1299,25.98,0.0,0.0,1273.02,1273.02,SUCCESS,SETTLED
TXN0062,ORD0062,799,15.98,0.0,0.0,783.02,783.02,SUCCESS,SETTLED
TXN0063,ORD0063,2499,49.98,0.0,0.0,2449.02,2449.02,SUCCESS,SETTLED
TXN0064,ORD0064,1499,29.98,0.0,0.0,1469.02,1469.02,SUCCESS,SETTLED
TXN0065,ORD0065,2999,59.98,0.0,0.0,2939.02,2939.02,SUCCESS,SETTLED
TXN0066,ORD0066,1999,39.98,0.0,0.0,1959.02,1959.02,SUCCESS,SETTLED
TXN0067,ORD0067,999,19.98,0.0,0.0,979.02,979.02,SUCCESS,SETTLED
TXN0068,ORD0068,1999,39.98,0.0,0.0,1959.02,1959.02,SUCCESS,SETTLED
TXN0069,ORD0069,1999,39.98,0.0,0.0,1959.02,1959.02,SUCCESS,SETTLED
TXN0070,ORD0070,1299,25.98,0.0,0.0,1273.02,1273.02,SUCCESS,SETTLED
TXN0071,ORD0071,1499,29.98,374.75,0.0,1094.27,1094.27,SUCCESS,SETTLED
TXN0072,ORD0072,799,15.98,199.75,0.0,583.27,583.27,SUCCESS,SETTLED
TXN0073,ORD0073,4999,99.98,1249.75,0.0,3649.27,3649.27,SUCCESS,SETTLED
TXN0074,ORD0074,999,19.98,249.75,0.0,729.27,729.27,SUCCESS,SETTLED
TXN0075,ORD0075,3999,79.98,999.75,0.0,2919.27,2919.27,SUCCESS,SETTLED
TXN0076,ORD0076,1299,25.98,0.0,0.0,1273.02,,SUCCESS,MISSING
TXN0077,ORD0077,999,19.98,0.0,0.0,979.02,,SUCCESS,MISSING
TXN0078,ORD0078,2999,59.98,0.0,0.0,2939.02,,SUCCESS,MISSING
TXN0079,ORD0079,2499,49.98,0.0,0.0,2449.02,,SUCCESS,MISSING
TXN0080,ORD0080,,29.98,0.0,0.0,,,MISSING,SETTLED
TXN0081,ORD0081,,79.98,0.0,0.0,,,MISSING,SETTLED
TXN0082,ORD0082,,25.98,0.0,0.0,,,MISSING,SETTLED
TXN0083,ORD0083,1999,39.98,0.0,0.0,1909.02,1909.02,SUCCESS,SETTLED
TXN0084,ORD0084,499,9.98,0.0,0.0,439.02,439.02,SUCCESS,SETTLED
TXN0085,ORD0085,1299,25.98,0.0,0.0,1223.02,1223.02,SUCCESS,SETTLED
TXN0086,ORD0086,499,9.98,0.0,0.0,439.02,439.02,SUCCESS,SETTLED
TXN0087,ORD0087,1999,39.98,0.0,0.0,1909.02,1909.02,SUCCESS,SETTLED
TXN0088,ORD0088,2499,49.98,0.0,0.0,2399.02,2399.02,SUCCESS,SETTLED
TXN0089,ORD0089,1499,29.98,0.0,0.0,1419.02,1419.02,SUCCESS,SETTLED
TXN0090,ORD0090,799,15.98,0.0,0.0,733.02,733.02,SUCCESS,SETTLED
TXN0091,ORD0091,1299,25.98,0.0,0.0,1223.02,1223.02,SUCCESS,SETTLED
TXN0092,ORD0092,4999,99.98,0.0,0.0,4849.02,4849.02,SUCCESS,SETTLED
TXN0093,ORD0093,1999,39.98,0.0,0.0,1909.02,1909.02,SUCCESS,SETTLED
TXN0094,ORD0094,1299,25.98,0.0,0.0,1223.02,1223.02,SUCCESS,SETTLED
TXN0095,ORD0095,2999,59.98,0.0,0.0,2939.02,2939.02,SUCCESS,FAILED
TXN0096,ORD0096,2499,49.98,0.0,0.0,2449.02,2449.02,SUCCESS,FAILED
TXN0097,ORD0097,2999,59.98,0.0,0.0,2939.02,2939.02,SUCCESS,FAILED
TXN0098,ORD0001,799,15.98,0.0,0.0,783.02,783.02,SUCCESS,SETTLED
TXN0099,ORD0002,499,9.98,0.0,0.0,489.02,489.02,SUCCESS,SETTLED
TXN0100,ORD0003,1499,29.98,0.0,0.0,1469.02,1469.02,SUCCESS,SETTLED
