transaction_id,order_id,result,exception_type,requires_manual_review,payment_amount,fee,refund,adjustment,expected_settlement,actual_settlement,difference,payment_status,settlement_status
TXN0021,ORD0021,MATCHED,,False,1299.0,25.98,0.0,0.0,1273.02,1273.02,0.00,SUCCESS,SETTLED
TXN0022,ORD0022,MATCHED,,False,3999.0,79.98,0.0,0.0,3919.02,3919.02,0.00,SUCCESS,SETTLED
TXN0023,ORD0023,MATCHED,,False,2499.0,49.98,0.0,0.0,2449.02,2449.02,0.00,SUCCESS,SETTLED
TXN0024,ORD0024,MATCHED,,False,1299.0,25.98,0.0,0.0,1273.02,1273.02,0.00,SUCCESS,SETTLED
TXN0025,ORD0025,MATCHED,,False,2999.0,59.98,0.0,0.0,2939.02,2939.02,0.00,SUCCESS,SETTLED
TXN0026,ORD0026,MATCHED,,False,4999.0,99.98,0.0,0.0,4899.02,4899.02,0.00,SUCCESS,SETTLED
TXN0027,ORD0027,MATCHED,,False,1499.0,29.98,0.0,0.0,1469.02,1469.02,0.00,SUCCESS,SETTLED
TXN0028,ORD0028,MATCHED,,False,499.0,9.98,0.0,0.0,489.02,489.02,0.00,SUCCESS,SETTLED
TXN0029,ORD0029,MATCHED,,False,999.0,19.98,0.0,0.0,979.02,979.02,0.00,SUCCESS,SETTLED
TXN0030,ORD0030,MATCHED,,False,2499.0,49.98,0.0,0.0,2449.02,2449.02,0.00,SUCCESS,SETTLED
TXN0031,ORD0031,MATCHED,,False,1999.0,39.98,0.0,0.0,1959.02,1959.02,0.00,SUCCESS,SETTLED
TXN0032,ORD0032,MATCHED,,False,1499.0,29.98,0.0,0.0,1469.02,1469.02,0.00,SUCCESS,SETTLED
TXN0033,ORD0033,MATCHED,,False,999.0,19.98,0.0,0.0,979.02,979.02,0.00,SUCCESS,SETTLED
TXN0034,ORD0034,MATCHED,,False,1299.0,25.98,0.0,0.0,1273.02,1273.02,0.00,SUCCESS,SETTLED
TXN0035,ORD0035,MATCHED,,False,1999.0,39.98,0.0,0.0,1959.02,1959.02,0.00,SUCCESS,SETTLED
TXN0036,ORD0036,MATCHED,,False,799.0,15.98,0.0,0.0,783.02,783.02,0.00,SUCCESS,SETTLED
TXN0037,ORD0037,MATCHED,,False,799.0,15.98,0.0,0.0,783.02,783.02,0.00,SUCCESS,SETTLED
TXN0038,ORD0038,MATCHED,,False,2499.0,49.98,0.0,0.0,2449.02,2449.02,0.00,SUCCESS,SETTLED
TXN0039,ORD0039,MATCHED,,False,799.0,15.98,0.0,0.0,783.02,783.02,0.00,SUCCESS,SETTLED
TXN0040,ORD0040,MATCHED,,False,1999.0,39.98,0.0,0.0,1959.02,1959.02,0.00,SUCCESS,SETTLED
TXN0041,ORD0041,MATCHED,,False,1999.0,39.98,0.0,0.0,1959.02,1959.02,0.00,SUCCESS,SETTLED
TXN0042,ORD0042,MATCHED,,False,4999.0,99.98,0.0,0.0,4899.02,4899.02,0.00,SUCCESS,SETTLED
TXN0043,ORD0043,MATCHED,,False,1499.0,29.98,0.0,0.0,1469.02,1469.02,0.00,SUCCESS,SETTLED
TXN0044,ORD0044,MATCHED,,False,499.0,9.98,0.0,0.0,489.02,489.02,0.00,SUCCESS,SETTLED
TXN0045,ORD0045,MATCHED,,False,2999.0,59.98,0.0,0.0,2939.02,2939.02,0.00,SUCCESS,SETTLED
TXN0046,ORD0046,MATCHED,,False,3999.0,79.98,0.0,0.0,3919.02,3919.02,0.00,SUCCESS,SETTLED
TXN0047,ORD0047,MATCHED,,False,799.0,15.98,0.0,0.0,783.02,783.02,0.00,SUCCESS,SETTLED
TXN0048,ORD0048,MATCHED,,False,2499.0,49.98,0.0,0.0,2449.02,2449.02,0.00,SUCCESS,SETTLED
TXN0049,ORD0049,MATCHED,,False,799.0,15.98,0.0,0.0,783.02,783.02,0.00,SUCCESS,SETTLED
TXN0050,ORD0050,MATCHED,,False,3999.0,79.98,0.0,0.0,3919.02,3919.02,0.00,SUCCESS,SETTLED
TXN0051,ORD0051,MATCHED,,False,1499.0,29.98,0.0,0.0,1469.02,1469.02,0.00,SUCCESS,SETTLED
TXN0052,ORD0052,MATCHED,,False,4999.0,99.98,0.0,0.0,4899.02,4899.02,0.00,SUCCESS,SETTLED
TXN0053,ORD0053,MATCHED,,False,1999.0,39.98,0.0,0.0,1959.02,1959.02,0.00,SUCCESS,SETTLED
TXN0054,ORD0054,MATCHED,,False,4999.0,99.98,0.0,0.0,4899.02,4899.02,0.00,SUCCESS,SETTLED
TXN0055,ORD0055,MATCHED,,False,1299.0,25.98,0.0,0.0,1273.02,1273.02,0.00,SUCCESS,SETTLED
TXN0056,ORD0056,MATCHED,,False,799.0,15.98,0.0,0.0,783.02,783.02,0.00,SUCCESS,SETTLED
TXN0057,ORD0057,MATCHED,,False,499.0,9.98,0.0,0.0,489.02,489.02,0.00,SUCCESS,SETTLED
TXN0058,ORD0058,MATCHED,,False,1299.0,25.98,0.0,0.0,1273.02,1273.02,0.00,SUCCESS,SETTLED
TXN0059,ORD0059,MATCHED,,False,1499.0,29.98,0.0,0.0,1469.02,1469.02,0.00,SUCCESS,SETTLED
TXN0060,ORD0060,MATCHED,,False,799.0,15.98,0.0,0.0,783.02,783.02,0.00,SUCCESS,SETTLED
TXN0061,ORD0061,MATCHED,,False,1299.0,25.98,0.0,0.0,1273.02,1273.02,0.00,SUCCESS,SETTLED
TXN0062,ORD0062,MATCHED,,False,799.0,15.98,0.0,0.0,783.02,783.02,0.00,SUCCESS,SETTLED
TXN0063,ORD0063,MATCHED,,False,2499.0,49.98,0.0,0.0,2449.02,2449.02,0.00,SUCCESS,SETTLED
TXN0064,ORD0064,MATCHED,,False,1499.0,29.98,0.0,0.0,1469.02,1469.02,0.00,SUCCESS,SETTLED
TXN0065,ORD0065,MATCHED,,False,2999.0,59.98,0.0,0.0,2939.02,2939.02,0.00,SUCCESS,SETTLED
TXN0066,ORD0066,MATCHED,,False,1999.0,39.98,0.0,0.0,1959.02,1959.02,0.00,SUCCESS,SETTLED
TXN0067,ORD0067,MATCHED,,False,999.0,19.98,0.0,0.0,979.02,979.02,0.00,SUCCESS,SETTLED
TXN0068,ORD0068,MATCHED,,False,1999.0,39.98,0.0,0.0,1959.02,1959.02,0.00,SUCCESS,SETTLED
TXN0069,ORD0069,MATCHED,,False,1999.0,39.98,0.0,0.0,1959.02,1959.02,0.00,SUCCESS,SETTLED
TXN0070,ORD0070,MATCHED,,False,1299.0,25.98,0.0,0.0,1273.02,1273.02,0.00,SUCCESS,SETTLED
TXN0071,ORD0071,MATCHED,,False,1499.0,29.98,374.75,0.0,1094.27,1094.27,0.00,SUCCESS,SETTLED
TXN0072,ORD0072,MATCHED,,False,799.0,15.98,199.75,0.0,583.27,583.27,0.00,SUCCESS,SETTLED
TXN0073,ORD0073,MATCHED,,False,4999.0,99.98,1249.75,0.0,3649.27,3649.27,0.00,SUCCESS,SETTLED
TXN0074,ORD0074,MATCHED,,False,999.0,19.98,249.75,0.0,729.27,729.27,0.00,SUCCESS,SETTLED
TXN0075,ORD0075,MATCHED,,False,3999.0,79.98,999.75,0.0,2919.27,2919.27,0.00,SUCCESS,SETTLED
TXN0076,ORD0076,EXCEPTION,MISSING_SETTLEMENT,True,1299.0,25.98,0.0,0.0,1273.02,,,SUCCESS,MISSING
TXN0077,ORD0077,EXCEPTION,MISSING_SETTLEMENT,True,999.0,19.98,0.0,0.0,979.02,,,SUCCESS,MISSING
TXN0078,ORD0078,EXCEPTION,MISSING_SETTLEMENT,True,2999.0,59.98,0.0,0.0,2939.02,,,SUCCESS,MISSING
TXN0079,ORD0079,EXCEPTION,MISSING_SETTLEMENT,True,2499.0,49.98,0.0,0.0,2449.02,,,SUCCESS,MISSING
TXN0080,ORD0080,EXCEPTION,MISSING_PAYMENT,True,,29.98,0.0,0.0,,,,MISSING,SETTLED
TXN0081,ORD0081,EXCEPTION,MISSING_PAYMENT,True,,79.98,0.0,0.0,,,,MISSING,SETTLED
TXN0082,ORD0082,EXCEPTION,MISSING_PAYMENT,True,,25.98,0.0,0.0,,,,MISSING,SETTLED
TXN0083,ORD0083,EXCEPTION,CALCULATION_MISMATCH,True,1999.0,39.98,0.0,0.0,1909.02,1909.02,0.00,SUCCESS,SETTLED
TXN0084,ORD0084,EXCEPTION,CALCULATION_MISMATCH,True,499.0,9.98,0.0,0.0,439.02,439.02,0.00,SUCCESS,SETTLED
TXN0085,ORD0085,EXCEPTION,CALCULATION_MISMATCH,True,1299.0,25.98,0.0,0.0,1223.02,1223.02,0.00,SUCCESS,SETTLED
TXN0086,ORD0086,EXCEPTION,CALCULATION_MISMATCH,True,499.0,9.98,0.0,0.0,439.02,439.02,0.00,SUCCESS,SETTLED
TXN0087,ORD0087,EXCEPTION,CALCULATION_MISMATCH,True,1999.0,39.98,0.0,0.0,1909.02,1909.02,0.00,SUCCESS,SETTLED
TXN0088,ORD0088,EXCEPTION,CALCULATION_MISMATCH,True,2499.0,49.98,0.0,0.0,2399.02,2399.02,0.00,SUCCESS,SETTLED
TXN0089,ORD0089,EXCEPTION,CALCULATION_MISMATCH,True,1499.0,29.98,0.0,0.0,1419.02,1419.02,0.00,SUCCESS,SETTLED
TXN0090,ORD0090,EXCEPTION,CALCULATION_MISMATCH,True,799.0,15.98,0.0,0.0,733.02,733.02,0.00,SUCCESS,SETTLED
TXN0091,ORD0091,EXCEPTION,CALCULATION_MISMATCH,True,1299.0,25.98,0.0,0.0,1223.02,1223.02,0.00,SUCCESS,SETTLED
TXN0092,ORD0092,EXCEPTION,CALCULATION_MISMATCH,True,4999.0,99.98,0.0,0.0,4849.02,4849.02,0.00,SUCCESS,SETTLED
TXN0093,ORD0093,EXCEPTION,CALCULATION_MISMATCH,True,1999.0,39.98,0.0,0.0,1909.02,1909.02,0.00,SUCCESS,SETTLED
TXN0094,ORD0094,EXCEPTION,CALCULATION_MISMATCH,True,1299.0,25.98,0.0,0.0,1223.02,1223.02,0.00,SUCCESS,SETTLED
TXN0095,ORD0095,EXCEPTION,STATUS_MISMATCH,True,2999.0,59.98,0.0,0.0,2939.02,2939.02,0.00,SUCCESS,FAILED
TXN0096,ORD0096,EXCEPTION,STATUS_MISMATCH,True,2499.0,49.98,0.0,0.0,2449.02,2449.02,0.00,SUCCESS,FAILED
TXN0097,ORD0097,EXCEPTION,STATUS_MISMATCH,True,2999.0,59.98,0.0,0.0,2939.02,2939.02,0.00,SUCCESS,FAILED
TXN0098,ORD0001,EXCEPTION,DUPLICATE,True,799.0,15.98,0.0,0.0,783.02,783.02,0.00,SUCCESS,SETTLED
TXN0099,ORD0002,EXCEPTION,DUPLICATE,True,499.0,9.98,0.0,0.0,489.02,489.02,0.00,SUCCESS,SETTLED
TXN0100,ORD0003,EXCEPTION,DUPLICATE,True,1499.0,29.98,0.0,0.0,1469.02,1469.02,0.00,SUCCESS,SETTLED
